N[SH]=O	-3.7
O=[N+][O-]	-1.8
CC(C)=N	2.2
cc(C)n	2.2
CC(C)N	1.0
CNC(C)C	1.0
cN(C)C	1.0
cC(C)N	1.0
cccn	1.0
ccnc	1.0
nc(N)o	1.0
CC(N)C	2.2
C=C(C)N	2.2
N(C)C)	-1.4
C(N(C)C)	0.2
CC(N)=O	1.0
CC(=N)O	1.0
cC(C)=N	1.0
cc(n)s	0.2
cC(N)=O	0.2
nc(n)O	0.2
N=C(N)O	0.2
C=C(N)n	0.2
Cc(n)o	4.3
cc(n)O	-1.9
c-c(n)o	-1.9
ccon	-1.1
nC1CC1	8.1
NC1CC1	8.1
CCNC	8.1
CCC(C)N	10.7
cc(c)S	10.1
cc(-c)o	7.8
NCCO	7.8
CC(C)(C)O	8.1
CC(C)(C)N	8.1
ccN(C)C	8.1
CC(C)(c)O	8.1
CC(N(C)C)	3.8
CC(C)(N)O	4.3
cc(c)N	3.8
CCC#N	3.8
CN(c)C	2.2
ccNC	2.2
CC(C)(N)O	4.3
OC	-1.4
CO	-1.4
co	2.3
COc	3.8
COC	0.2
CCO	0.2
Cco	0.2
cCO	-4.2
cco	3.8
CCOC	3.8
COCC	3.8
coc	3.8
CP=O	-2.5
OC	-3.1
CO	-3.1
COC	-1.8
CCO	-1.8
C=O	-2.8
CC=O	-1.0
cC=N	-1.0
CCC=O	2.2
cC(O)O	2.2
CC(C)O	9.9
CC(c)O	-2.0
cC(C)O	-2.0
C=O	-2.8
OCC	-1
O=S=O	-3.7
CC(=O)C	2.2
C(=O)O	-1.2
O=CO	-6.9
C(=O)O	1.1
NS(N)(=O)=O	-3.5
ns(=O)=O	-3.5
cS(N)(=O)=O	-3.5
CNC(N)=O	-7.0
CC(O)O	1.0
CC(=O)O	-3.8
cC(=O)O	-3.8
ccOC	7.8
COC(C)C	7.8
cc(C)o	7.8
C=C(C)O	7.8
cc(c)o	7.8
ccOc	7.8
ccCO	4.3
cOC	1.1
CO	-7.2
CCO	-5.2
CCCO	-2
CO	-7.2
OCC	-5.2
CC(O)C	-2
cO	-6.1
Ocs	-4.2
ccO	-4.2
C=CO	-4.2
cc(c)O	-4.2
cccO	-4.2
